Order ID,Order Date,Region,Channel,Product,Units,Unit Price,Refunded
SO-00001,2025-08-20,West,retail,Flange,19,40.66,false
SO-00002,2025-09-01,South,online,Sprocket,10,32.39,false
SO-00003,2026-02-19,North,partner,Sprocket,15,120.47,false
SO-00004,2025-11-29,South,partner,Widget,17,18.86,true
SO-00005,2025-04-08,South,partner,Widget,15,64.12,false
SO-00006,2025-04-11,South,partner,Doohickey,16,8.79,true
SO-00007,2025-08-23,East,retail,Flange,3,129.74,false
SO-00008,2026-01-24,South,partner,Doohickey,1,20.08,true
SO-00009,2025-07-25,North,retail,Sprocket,3,172.78,true
SO-00010,2025-04-20,South,online,Sprocket,13,176.62,false
SO-00011,2025-08-03,North,partner,Gadget,9,65.95,false
SO-00012,2025-06-20,North,retail,Widget,5,50.38,true
SO-00013,2025-01-06,North,retail,Sprocket,6,125.32,false
SO-00014,2025-08-18,South,partner,Gadget,14,118.72,true
SO-00015,2025-07-22,West,online,Widget,9,156.67,false
SO-00016,2025-06-05,North,online,Gadget,13,179.28,false
SO-00017,2025-11-25,North,online,Gadget,7,83.95,true
SO-00018,2026-01-31,East,retail,Sprocket,3,20.78,false
SO-00019,2025-10-26,South,online,Flange,12,71.93,false
SO-00020,2025-03-07,West,partner,Gadget,13,39.45,false
SO-00021,2025-06-09,South,partner,Gadget,7,35.26,false
SO-00022,2025-04-11,West,retail,Flange,3,80.49,true
SO-00023,2025-02-25,North,partner,Doohickey,8,135.25,false
SO-00024,2025-05-12,West,partner,Sprocket,10,97.45,true
SO-00025,2025-03-06,South,retail,Flange,20,113.66,false
SO-00026,2025-04-19,South,partner,Widget,3,54.30,false
SO-00027,2025-05-08,North,online,Gadget,10,71.43,false
SO-00028,2025-03-09,North,retail,Gadget,15,176.64,false
SO-00029,2025-10-27,South,partner,Widget,1,89.66,false
SO-00030,2025-12-25,East,online,Widget,20,117.42,false
SO-00031,2025-02-04,East,retail,Gadget,3,20.95,false
SO-00032,2025-07-08,North,partner,Gadget,11,68.52,false
SO-00033,2025-02-09,West,online,Sprocket,19,10.50,false
SO-00034,2025-07-14,North,partner,Widget,3,23.59,true
SO-00035,2025-05-12,West,partner,Doohickey,13,168.69,false
SO-00036,2025-08-23,West,retail,Flange,3,97.22,false
SO-00037,2025-01-16,East,partner,Widget,16,11.83,true
SO-00038,2025-09-12,West,retail,Widget,12,59.78,false
SO-00039,2025-04-14,South,retail,Sprocket,16,161.38,false
SO-00040,2025-07-27,East,online,Sprocket,7,159.41,false
SO-00041,2025-04-23,East,online,Gadget,5,93.39,true
SO-00042,2025-12-31,North,retail,Gadget,4,85.51,false
SO-00043,2025-04-20,West,retail,Flange,16,123.61,false
SO-00044,2025-08-20,East,online,Widget,9,158.13,true
SO-00045,2025-12-14,East,partner,Doohickey,10,119.68,false
SO-00046,2025-01-10,South,retail,Sprocket,7,12.25,false
SO-00047,2025-05-02,South,online,Widget,15,26.75,false
SO-00048,2025-12-02,East,online,Gadget,7,149.70,false
SO-00049,2025-04-02,North,retail,Flange,2,38.80,false
SO-00050,2026-02-03,East,partner,Flange,17,113.68,false
SO-00051,2025-07-21,South,online,Sprocket,13,30.34,false
SO-00052,2025-04-11,North,retail,Flange,19,120.26,false
SO-00053,2026-02-12,East,retail,Doohickey,7,25.02,true
SO-00054,2025-04-20,South,retail,Widget,10,100.36,false
SO-00055,2025-05-15,North,retail,Flange,3,14.39,false
SO-00056,2025-10-09,West,retail,Sprocket,1,45.55,true
SO-00057,2025-08-08,North,online,Flange,11,126.09,false
SO-00058,2025-08-29,South,partner,Flange,15,170.67,false
SO-00059,2025-10-24,North,online,Sprocket,17,104.11,false
SO-00060,2025-11-24,South,partner,Flange,18,52.12,false
SO-00061,2025-11-09,South,retail,Gadget,18,98.17,false
SO-00062,2025-09-12,South,retail,Flange,4,94.55,false
SO-00063,2025-07-13,North,partner,Widget,17,165.78,false
SO-00064,2026-02-15,North,retail,Widget,6,19.33,false
SO-00065,2025-08-23,West,retail,Doohickey,8,89.38,false
SO-00066,2025-06-23,West,retail,Flange,11,26.68,false
SO-00067,2025-11-13,North,retail,Gadget,1,14.13,false
SO-00068,2025-04-27,North,partner,Doohickey,11,132.46,false
SO-00069,2025-11-14,West,online,Sprocket,19,29.12,false
SO-00070,2025-11-16,East,partner,Gadget,17,159.14,true
SO-00071,2025-07-12,West,partner,Flange,6,100.57,false
SO-00072,2025-11-23,South,partner,Gadget,18,113.21,false
SO-00073,2025-04-30,East,online,Doohickey,20,62.18,false
SO-00074,2025-04-22,South,online,Gadget,8,30.80,true
SO-00075,2025-05-13,West,online,Sprocket,14,101.44,false
SO-00076,2025-04-13,West,partner,Widget,4,42.56,false
SO-00077,2026-02-25,East,online,Flange,11,94.48,false
SO-00078,2026-02-16,North,retail,Widget,1,14.44,false
SO-00079,2025-11-11,West,online,Gadget,6,27.77,false
SO-00080,2025-03-22,East,partner,Widget,19,18.65,false
SO-00081,2025-02-09,North,retail,Sprocket,15,81.35,false
SO-00082,2025-08-09,South,partner,Doohickey,1,117.05,true
SO-00083,2025-04-13,South,retail,Sprocket,12,135.17,false
SO-00084,2025-04-10,South,online,Flange,1,63.68,true
SO-00085,2026-02-15,West,partner,Flange,7,94.74,false
SO-00086,2026-02-17,East,retail,Widget,6,148.12,false
SO-00087,2025-03-10,East,partner,Doohickey,14,139.62,false
SO-00088,2025-04-16,South,online,Doohickey,10,88.64,true
SO-00089,2025-07-02,North,online,Doohickey,10,66.10,false
SO-00090,2025-10-19,South,partner,Widget,13,96.53,false
SO-00091,2025-11-25,South,partner,Widget,13,176.57,true
SO-00092,2025-02-28,North,partner,Gadget,9,84.31,false
SO-00093,2025-01-26,South,partner,Sprocket,1,24.93,false
SO-00094,2025-05-22,East,partner,Flange,17,79.50,false
SO-00095,2025-10-18,North,partner,Sprocket,3,102.50,true
SO-00096,2025-07-17,South,retail,Sprocket,6,155.18,false
SO-00097,2025-11-09,North,retail,Sprocket,14,56.92,false
SO-00098,2025-11-03,East,retail,Flange,10,91.12,false
SO-00099,2025-10-15,East,partner,Doohickey,1,10.41,false
SO-00100,2025-10-27,North,partner,Gadget,14,137.80,false
SO-00101,2025-01-28,East,partner,Sprocket,2,108.06,false
